,displayname,domain,params,path,tagname
id_440,AOL ADTECH;cors=yes;cmd=bid;alias=116b40f40023f83;grp=450;misc=1465519004525,adtechus.com,cors=yes;cmd=bid;alias=116b40f40023f83;grp=450;misc=1465519004525,/pubapi/3.0/10064.1/3942669/0/0/ADTECH,AOL
id_441,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_442,AOL ADTECH;cors=yes;cmd=bid;alias=126a4236ac784d2;grp=450;misc=1465519004531,adtechus.com,cors=yes;cmd=bid;alias=126a4236ac784d2;grp=450;misc=1465519004531,/pubapi/3.0/10064.1/3942672/0/0/ADTECH,AOL
id_443,AOL ADTECH;cors=yes;cmd=bid;alias=13fdbcd9f94fe32;grp=450;misc=1465519004537,adtechus.com,cors=yes;cmd=bid;alias=13fdbcd9f94fe32;grp=450;misc=1465519004537,/pubapi/3.0/10064.1/3942674/0/0/ADTECH,AOL
id_444,AOL ADTECH;cors=yes;cmd=bid;alias=1444bcff1a8ddb;grp=450;misc=1465519004543,adtechus.com,cors=yes;cmd=bid;alias=1444bcff1a8ddb;grp=450;misc=1465519004543,/pubapi/3.0/10064.1/3942658/0/0/ADTECH,AOL
id_445,AOL ADTECH;cors=yes;cmd=bid;alias=15cdccbad4b34d;grp=450;misc=1465519004549,adtechus.com,cors=yes;cmd=bid;alias=15cdccbad4b34d;grp=450;misc=1465519004549,/pubapi/3.0/10064.1/3942676/0/0/ADTECH,AOL
id_446,AOL ADTECH;cors=yes;cmd=bid;alias=16144b714486ec9;grp=450;misc=1465519004554,adtechus.com,cors=yes;cmd=bid;alias=16144b714486ec9;grp=450;misc=1465519004554,/pubapi/3.0/10064.1/3942660/0/0/ADTECH,AOL
id_447,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_448,AOL ADTECH;cors=yes;cmd=bid;alias=179f81134982a6b;grp=450;misc=1465519004564,adtechus.com,cors=yes;cmd=bid;alias=179f81134982a6b;grp=450;misc=1465519004564,/pubapi/3.0/10064.1/3942662/0/0/ADTECH,AOL
id_449,AOL ADTECH;cors=yes;cmd=bid;alias=182c713eee3907d;grp=450;misc=1465519004571,adtechus.com,cors=yes;cmd=bid;alias=182c713eee3907d;grp=450;misc=1465519004571,/pubapi/3.0/10064.1/3942664/0/0/ADTECH,AOL
id_45,AOL ADTECH;cors=yes;cmd=bid;alias=23a6354eeeb7de2;grp=632;misc=1465518873064,adtechus.com,cors=yes;cmd=bid;alias=23a6354eeeb7de2;grp=632;misc=1465518873064,/pubapi/3.0/10064.1/3942673/0/0/ADTECH,AOL
id_450,AOL ADTECH;cors=yes;cmd=bid;alias=192ac6d448ee233;grp=450;misc=1465519004579,adtechus.com,cors=yes;cmd=bid;alias=192ac6d448ee233;grp=450;misc=1465519004579,/pubapi/3.0/10064.1/3942666/0/0/ADTECH,AOL
id_451,AOL ADTECH;cors=yes;cmd=bid;alias=2067c4ddc15226b;grp=450;misc=1465519004586,adtechus.com,cors=yes;cmd=bid;alias=2067c4ddc15226b;grp=450;misc=1465519004586,/pubapi/3.0/10064.1/3942668/0/0/ADTECH,AOL
id_452,AOL ADTECH;cors=yes;cmd=bid;alias=21e78be64d89075;grp=450;misc=1465519004592,adtechus.com,cors=yes;cmd=bid;alias=21e78be64d89075;grp=450;misc=1465519004592,/pubapi/3.0/10064.1/3942670/0/0/ADTECH,AOL
id_453,AOL ADTECH;cors=yes;cmd=bid;alias=225b0d755a52f72;grp=450;misc=1465519004598,adtechus.com,cors=yes;cmd=bid;alias=225b0d755a52f72;grp=450;misc=1465519004598,/pubapi/3.0/10064.1/3942671/0/0/ADTECH,AOL
id_454,AOL ADTECH;cors=yes;cmd=bid;alias=231e1cecdf2a349;grp=450;misc=1465519004603,adtechus.com,cors=yes;cmd=bid;alias=231e1cecdf2a349;grp=450;misc=1465519004603,/pubapi/3.0/10064.1/3942673/0/0/ADTECH,AOL
id_455,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_456,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_457,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_458,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_459,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_46,Simpli.fi dpx,simpli.fi,,/dpx,Simpli.fi
id_460,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_461,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_462,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_463,OnScroll p.gif,onscroll.com,,/p.gif,OnScroll
id_464,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_465,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_466,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_467,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_468,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_469,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_47,Simpli.fi lj_match,simpli.fi,,/lj_match,Simpli.fi
id_470,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_471,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_472,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_473,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_474,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_475,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_476,Mezzobit A0aeov,cloudfront.net,,/A0aeov,Mezzobit
id_477,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_478,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_479,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_48,Simpli.fi aol,simpli.fi,,/aol,Simpli.fi
id_480,Criteo lg.php,ny.us.criteo.com,,/delivery/lg.php,Criteo
id_481,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_482,Sizmek ebStdBanner.js,serving-sys.com,,/BurstingCachedScripts//Ad_2_82_3_0/ebStdBanner.js,Sizmek
id_483,Sizmek 1492799e-573f-4106-b36b-991e5a5a7901.jpg,serving-sys.com,,/BurstingRes/Site-111309/Type-0/1492799e-573f-4106-b36b-991e5a5a7901.jpg,Sizmek
id_484,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_485,IAS PixelB.swf,adsafeprotected.com,,/PixelB.swf,IAS
id_486,MediaMath notify,mathtag.com,,/notify,MediaMath
id_487,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_488,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_489,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_49,Simpli.fi match_redirect,simpli.fi,,/match_redirect,Simpli.fi
id_490,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_491,OnScroll p.gif,onscroll.com,,/p.gif,OnScroll
id_492,Mezzobit Lmgo2t,cloudfront.net,,/Lmgo2t,Mezzobit
id_493,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_494,Google creative_toolset.js,googlesyndication.com,,/pagead/js/r20160607/r20151006/creative_toolset.js,Google
id_495,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_496,Mezzobit O8vh7c,cloudfront.net,,/O8vh7c,Mezzobit
id_497,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_498,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_499,Pubmatic AdCallAggregator,pubmatic.com,,/AdServer/AdCallAggregator,Pubmatic
id_5,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_50,Simpli.fi match_redirect,simpli.fi,,/match_redirect,Simpli.fi
id_500,AOL ADTECH;cors=yes;cmd=bid;alias=42cf00cb30b048;grp=61;misc=1465519011829,adtechus.com,cors=yes;cmd=bid;alias=42cf00cb30b048;grp=61;misc=1465519011829,/pubapi/3.0/10064.1/3942657/0/0/ADTECH,AOL
id_501,AOL ADTECH;cors=yes;cmd=bid;alias=5591796ded67a6;grp=61;misc=1465519011837,adtechus.com,cors=yes;cmd=bid;alias=5591796ded67a6;grp=61;misc=1465519011837,/pubapi/3.0/10064.1/3942675/0/0/ADTECH,AOL
id_502,AOL ADTECH;cors=yes;cmd=bid;alias=608206e08c8d5f;grp=61;misc=1465519011842,adtechus.com,cors=yes;cmd=bid;alias=608206e08c8d5f;grp=61;misc=1465519011842,/pubapi/3.0/10064.1/3942659/0/0/ADTECH,AOL
id_503,AOL ADTECH;cors=yes;cmd=bid;alias=7214fa090d83b;grp=61;misc=1465519011846,adtechus.com,cors=yes;cmd=bid;alias=7214fa090d83b;grp=61;misc=1465519011846,/pubapi/3.0/10064.1/3942661/0/0/ADTECH,AOL
id_504,AOL ADTECH;cors=yes;cmd=bid;alias=8171a1819a7399;grp=61;misc=1465519011852,adtechus.com,cors=yes;cmd=bid;alias=8171a1819a7399;grp=61;misc=1465519011852,/pubapi/3.0/10064.1/3942663/0/0/ADTECH,AOL
id_505,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_506,AOL ADTECH;cors=yes;cmd=bid;alias=9bf0811a9878b9;grp=61;misc=1465519011856,adtechus.com,cors=yes;cmd=bid;alias=9bf0811a9878b9;grp=61;misc=1465519011856,/pubapi/3.0/10064.1/3942665/0/0/ADTECH,AOL
id_507,AOL ADTECH;cors=yes;cmd=bid;alias=109511756d57d3b;grp=61;misc=1465519011861,adtechus.com,cors=yes;cmd=bid;alias=109511756d57d3b;grp=61;misc=1465519011861,/pubapi/3.0/10064.1/3942667/0/0/ADTECH,AOL
id_508,AOL ADTECH;cors=yes;cmd=bid;alias=118d2f7d9e2fe6d;grp=61;misc=1465519011866,adtechus.com,cors=yes;cmd=bid;alias=118d2f7d9e2fe6d;grp=61;misc=1465519011866,/pubapi/3.0/10064.1/3942669/0/0/ADTECH,AOL
id_509,AOL ADTECH;cors=yes;cmd=bid;alias=129eb8036bc41b8;grp=61;misc=1465519011870,adtechus.com,cors=yes;cmd=bid;alias=129eb8036bc41b8;grp=61;misc=1465519011870,/pubapi/3.0/10064.1/3942672/0/0/ADTECH,AOL
id_51,Simpli.fi lr,simpli.fi,,/lr,Simpli.fi
id_510,AOL ADTECH;cors=yes;cmd=bid;alias=13c04be099d8b72;grp=61;misc=1465519011875,adtechus.com,cors=yes;cmd=bid;alias=13c04be099d8b72;grp=61;misc=1465519011875,/pubapi/3.0/10064.1/3942674/0/0/ADTECH,AOL
id_511,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_512,AOL ADTECH;cors=yes;cmd=bid;alias=14e5b87b812a3d9;grp=61;misc=1465519011879,adtechus.com,cors=yes;cmd=bid;alias=14e5b87b812a3d9;grp=61;misc=1465519011879,/pubapi/3.0/10064.1/3942658/0/0/ADTECH,AOL
